ADM2_PCODE,rfh_mean,rfh_median,rfh_std,rfh_cv,rfh_winter,rfh_spring,rfh_summer,rfh_autumn,r1h_mean,r1h_median,r1h_std,r1h_cv,r1h_winter,r1h_spring,r1h_summer,r1h_autumn,r3h_mean,r3h_median,r3h_std,r3h_cv,r3h_winter,r3h_spring,r3h_summer,r3h_autumn
MA004007,12.070413784461154,15.7439,6.808621928875777,0.5640752711925133,17.939616417910447,14.925321890547265,2.7356333333333334,12.548900000000001,36.21132036340852,46.1652,19.541367243615795,0.5396480174570579,55.85763781094528,45.85780223880597,11.010488888888888,31.67552222222222,108.73297186716792,125.7725,52.10425586879597,0.4791946267453113,158.6793,149.90109875621891,68.54731111111111,56.423655555555555
MA004001,11.443697869674187,14.285,7.0724191400031415,0.6180186877132663,16.44542064676617,14.717155970149255,1.7844333333333329,12.7024,34.33138709273183,47.1383,20.043034228096474,0.5838107902240778,51.38237835820896,46.19143507462686,7.6911000000000005,31.62258888888889,102.98664417293234,125.32,52.66852145287041,0.511411182254185,150.28377064676616,147.50042064676617,60.330744444444434,52.44056666666667
MA006001,13.986229135338345,14.2179,11.258346956773062,0.804959424576216,20.792966915422888,22.182235323383082,1.7627333333333335,10.979666666666665,41.96259567669173,39.8938,31.608574589781828,0.7532559433004504,62.52377164179105,70.8663644278607,7.067522222222221,26.64325555555556,125.5909087092732,130.9674,79.72490852319046,0.6347984049366453,162.0761935323383,226.84771766169155,64.80007777777777,46.55264444444443
MA002007,11.667239160401001,13.8122,8.918038211260725,0.7643657671412826,20.25962089552239,12.45282313432836,0.5627666666666666,13.251655555555555,35.004913157894734,47.3767,25.587700001555817,0.7309745316647063,63.725507960198996,41.36894825870646,2.647777777777778,31.74583333333333,105.415614160401,119.2649,69.02324242454696,0.6547724734546516,180.46879452736317,152.8977661691542,38.41833333333334,48.02096666666666
MA006008,7.513561842105264,8.1668,5.113377739010637,0.6805530913921237,10.910375870646767,10.30056616915423,0.8425888888888889,7.907022222222222,22.55989191729323,29.8433,14.367244768914366,0.6368490071488858,34.39421393034826,32.27401766169154,3.780322222222222,19.464522222222218,67.86777280701754,78.8485,37.91753485104431,0.5586972031462277,98.82660895522388,103.97867412935322,35.621811111111114,32.027788888888885
MA007007,8.842993170426066,9.8489,5.6579968271462775,0.6398282479815224,14.571666417910448,11.12478009950249,0.9239777777777778,8.630177777777778,26.511047431077692,30.1391,16.096947959594814,0.6071788752007247,44.05865696517414,34.98027164179104,4.4821888888888894,22.128877777777777,79.46987869674186,87.8973,42.694174383677115,0.5372371907927362,113.16091144278607,120.02222587064678,42.964533333333335,40.60694444444445
MA007004,6.2332732456140345,7.0996,2.9730212495624033,0.4769598784481866,7.547662189054727,7.370649502487561,1.7799444444444443,8.197688888888889,18.71815620300752,21.7838,8.236221840540031,0.4400124537488732,24.43057910447761,21.396436069651738,6.651688888888889,22.266788888888886,56.348089160401,62.5658,19.850241990514093,0.3522788844535297,76.94640995024875,63.8818475124378,38.88926666666667,45.24858888888889
MA004002,12.970351315789472,14.8307,8.932942063241738,0.6887201314560547,20.623190049751248,14.465695273631843,0.9283999999999999,15.72551111111111,38.87652474937343,48.8889,25.36378763595188,0.6524191089472489,65.52501169154229,45.52260199004974,5.628933333333333,38.325088888888885,116.2369534461153,129.891,67.4262402253209,0.5800757695923104,191.26776169154226,156.7334713930348,55.1512,60.04496666666666
MA001004,11.868040789473685,13.8637,6.29433240317542,0.5303598559214723,16.95738457711443,14.166070895522388,2.6198000000000006,13.616977777777777,35.600816979949876,45.1127,17.922425678290928,0.5034273704557035,52.84870696517414,43.166092786069655,10.778322222222224,35.23418888888889,106.85965501253132,127.3463,47.145874313827676,0.441194333898036,154.56295522388058,139.43538258706468,67.47996666666667,64.74396666666667
MA004004,17.0209671679198,18.6868,9.818468030753143,0.5768454832142831,27.478391044776117,18.250885572139303,3.4959333333333333,18.68157777777778,51.023487531328314,58.0678,28.13522943652726,0.5514172158312833,84.0316800995025,56.76825945273632,14.214755555555557,48.492088888888894,152.79473007518797,164.0861,74.61483423293072,0.4883338201272641,231.19972039801,202.1371552238806,87.85725555555557,88.04922222222221
